"dataset","id","reason"
"ActivityNet Captions","v_7pcnWE7jpQY","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.804710865020752. Maximum achieved text similarity score is 0.8463537693023682."
"ActivityNet Captions","v_DEEgoxzTvdk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8449770212173462. Maximum achieved text similarity score is 0.8675020933151245."
"ActivityNet Captions","v_7KKYKIlGaXk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8229336738586426. Maximum achieved text similarity score is 0.8410450220108032."
"ActivityNet Captions","v_Gxjfc5O6AAc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8606843948364258. Maximum achieved text similarity score is 0.8933929800987244."
"ActivityNet Captions","v_KB9sqtTJTZw","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8499835133552551. Maximum achieved text similarity score is 0.8633401393890381."
"ActivityNet Captions","v_nvsZFU73npI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8426854610443115. Maximum achieved text similarity score is 0.8713628053665161."
"ActivityNet Captions","v_9wMEbyzxNHI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8256098628044128. Maximum achieved text similarity score is 0.8405829668045044."
"ActivityNet Captions","v_UeuZeIASSPw","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8932904005050659. Maximum achieved text similarity score is 0.8983328342437744."
"ActivityNet Captions","v_-SYV9IB-36s","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8221112489700317. Maximum achieved text similarity score is 0.8344826102256775."
"ActivityNet Captions","v_PJdE8Ui2eno","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.872585654258728. Maximum achieved text similarity score is 0.8943787813186646."
"ActivityNet Captions","v_20i6YGSnt-c","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8892037272453308. Maximum achieved text similarity score is 0.8916755318641663."
"ActivityNet Captions","v_ESsUwNlkJoo","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8826626539230347. Maximum achieved text similarity score is 0.8924095630645752."
"ActivityNet Captions","v__pMQwrt-cf4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8614932894706726. Maximum achieved text similarity score is 0.8698328733444214."
"ActivityNet Captions","v_8EDq3cjHhz0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8746930360794067. Maximum achieved text similarity score is 0.8902398347854614."
"ActivityNet Captions","v_FnrvqpjHe6I","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8600215315818787. Maximum achieved text similarity score is 0.8735043406486511."
"ActivityNet Captions","v_0_ZLjaAEx5s","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8387014865875244. Maximum achieved text similarity score is 0.8560574650764465."
"ActivityNet Captions","v_xMQcYD044z4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8714402318000793. Maximum achieved text similarity score is 0.8926423192024231."
"ActivityNet Captions","v_0-CYG7bH54A","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.862859845161438. Maximum achieved text similarity score is 0.8776265382766724."
"ActivityNet Captions","v_zBmVL3I3nFU","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8744732737541199. Maximum achieved text similarity score is 0.8972822427749634."
"ActivityNet Captions","v_0RZ5_8VD4vc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.5028340816497803. Maximum achieved text similarity score is 0.5149326324462891."
"ActivityNet Captions","v_f6Nhpyq1XdU","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8505842685699463. Maximum achieved text similarity score is 0.8520292043685913."
"ActivityNet Captions","v_5iIJl-wjE9U","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8494859933853149. Maximum achieved text similarity score is 0.8625479936599731."
"ActivityNet Captions","v_36K1e9WgEpU","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8879690170288086. Maximum achieved text similarity score is 0.8969060182571411."
"ActivityNet Captions","v_MXN34b2OUjQ","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8198045492172241. Maximum achieved text similarity score is 0.8327807784080505."
"ActivityNet Captions","v__bSRAXNa5PY","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8646992444992065. Maximum achieved text similarity score is 0.8759342432022095."
"ActivityNet Captions","v_mqUJEX9qk8E","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8703387975692749. Maximum achieved text similarity score is 0.8959230184555054."
"ActivityNet Captions","v_tT7ljH8GCl8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8587955832481384. Maximum achieved text similarity score is 0.879846453666687."
"ActivityNet Captions","v_So3EfVyUP64","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8542907238006592. Maximum achieved text similarity score is 0.8647348284721375."
"ActivityNet Captions","v_t3UI2gjo8X8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8696753978729248. Maximum achieved text similarity score is 0.8802992105484009."
"ActivityNet Captions","v_hIQ4Lmazo4g","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8296340107917786. Maximum achieved text similarity score is 0.8436554670333862."
"ActivityNet Captions","v_qBEdCDpoeTc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7941858768463135. Maximum achieved text similarity score is 0.8660992383956909."
"ActivityNet Captions","v_V2ltLccVh_Q","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8699723482131958. Maximum achieved text similarity score is 0.8954703211784363."
"ActivityNet Captions","v_BshSmo_rRII","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is -0.15411323308944702. Maximum achieved text similarity score is -0.048180364072322845."
"ActivityNet Captions","v_YbEX3klOS3Q","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8211095333099365. Maximum achieved text similarity score is 0.8826769590377808."
"ActivityNet Captions","v_dygVFom6V5c","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8452452421188354. Maximum achieved text similarity score is 0.860678493976593."
"ActivityNet Captions","v_-2DajzzRwn0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7832430601119995. Maximum achieved text similarity score is 0.8170902729034424."
"ActivityNet Captions","v_rP2MviNn52g","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7941761612892151. Maximum achieved text similarity score is 0.8291031718254089."
"ActivityNet Captions","v_rF1AqlLjECk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.825735330581665. Maximum achieved text similarity score is 0.8711118698120117."
"ActivityNet Captions","v_0PbmXOVIwGc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8732073307037354. Maximum achieved text similarity score is 0.8864182233810425."
"ActivityNet Captions","v_CUtkQIV2eto","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8643341064453125. Maximum achieved text similarity score is 0.8834842443466187."
"ActivityNet Captions","v_03KTIy44yTo","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8721119165420532. Maximum achieved text similarity score is 0.8905353546142578."
"ActivityNet Captions","v_mfK2jcMGe1Y","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is -0.025894705206155777. Maximum achieved text similarity score is 0.043100886046886444."
"ActivityNet Captions","v_jsofzMPb0i4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8378891348838806. Maximum achieved text similarity score is 0.8670843839645386."
"ActivityNet Captions","v_FfVfjZOHsl4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8258878588676453. Maximum achieved text similarity score is 0.8437992930412292."
"ActivityNet Captions","v_G4O_Ar7EO4Y","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7927126884460449. Maximum achieved text similarity score is 0.8290313482284546."
"ActivityNet Captions","v_4E-RWxR6Xr0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8693346977233887. Maximum achieved text similarity score is 0.8998079299926758."
"ActivityNet Captions","v_mnMmGnnbvSk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.882276177406311. Maximum achieved text similarity score is 0.8959474563598633."
"ActivityNet Captions","v_VbhCWRXsEHQ","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8693113327026367. Maximum achieved text similarity score is 0.8989851474761963."
"ActivityNet Captions","v_Pi79Fa4YwDk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8626230955123901. Maximum achieved text similarity score is 0.8904235363006592."
"ActivityNet Captions","v_aEUbl9oT_0s","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8479180335998535. Maximum achieved text similarity score is 0.8813590407371521."
"ActivityNet Captions","v_NVeTGvwk8y0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7870255708694458. Maximum achieved text similarity score is 0.802303671836853."
"ActivityNet Captions","v_NQ51aXtD6Q0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8484766483306885. Maximum achieved text similarity score is 0.8718444108963013."
"ActivityNet Captions","v_EZZMYzY6Pug","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8773238658905029. Maximum achieved text similarity score is 0.8798866271972656."
"ActivityNet Captions","v_uO9qoK8zGQc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8452473282814026. Maximum achieved text similarity score is 0.865379273891449."
"ActivityNet Captions","v_NhM6jEV08s4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8362439274787903. Maximum achieved text similarity score is 0.8831225037574768."
"ActivityNet Captions","v_dffUIntKlGI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8371119499206543. Maximum achieved text similarity score is 0.8991464376449585."
"ActivityNet Captions","v_c9A384zijnk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.826014518737793. Maximum achieved text similarity score is 0.8396973609924316."
"ActivityNet Captions","v_LtQTtCplKz0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7254239320755005. Maximum achieved text similarity score is 0.7844054102897644."
"ActivityNet Captions","v_hg-wVv7XSFo","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7881823778152466. Maximum achieved text similarity score is 0.8357582092285156."
"ActivityNet Captions","v_8jJdHFW-lys","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8829876184463501. Maximum achieved text similarity score is 0.8937259912490845."
"ActivityNet Captions","v_S47vfJ9g3Mw","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8672720193862915. Maximum achieved text similarity score is 0.8953280448913574."
"ActivityNet Captions","v_8qIl-0XOguM","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8285980224609375. Maximum achieved text similarity score is 0.872136116027832."
"ActivityNet Captions","v_sg5z7jus30w","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8879203796386719. Maximum achieved text similarity score is 0.8895922899246216."
"ActivityNet Captions","v_lue8XE3MEe8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8568865060806274. Maximum achieved text similarity score is 0.8826097846031189."
"ActivityNet Captions","v_QLACTCzs0R0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7912522554397583. Maximum achieved text similarity score is 0.8020850419998169."
"ActivityNet Captions","v_GHmxFOXP1Q0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8699483871459961. Maximum achieved text similarity score is 0.8839213848114014."
"ActivityNet Captions","v_Z3noRsTXGt4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8427543640136719. Maximum achieved text similarity score is 0.8670514225959778."
"ActivityNet Captions","v_bXrdB5AASAM","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8887832760810852. Maximum achieved text similarity score is 0.8916746973991394."
"ActivityNet Captions","v_IqRwR1a9ia0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8669779896736145. Maximum achieved text similarity score is 0.8708548545837402."
"ActivityNet Captions","v_3ekMufBfUdw","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8647178411483765. Maximum achieved text similarity score is 0.8850882649421692."
"ActivityNet Captions","v_LYOQ0gVySxE","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8341890573501587. Maximum achieved text similarity score is 0.8877130746841431."
"ActivityNet Captions","v_kH8o0M69KGc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8789613246917725. Maximum achieved text similarity score is 0.896370530128479."
"ActivityNet Captions","v_FrDKwP9XaOo","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8096238970756531. Maximum achieved text similarity score is 0.8344413042068481."
"ActivityNet Captions","v_eChLCFAGyx0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7932689189910889. Maximum achieved text similarity score is 0.8293977379798889."
"ActivityNet Captions","v_MoPg7NqyhLI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8744373917579651. Maximum achieved text similarity score is 0.8917081356048584."
"ActivityNet Captions","v_TS-p15iwQPc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8519416451454163. Maximum achieved text similarity score is 0.8603344559669495."
"ActivityNet Captions","v_hHWXldYW8rU","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.041121579706668854. Maximum achieved text similarity score is 0.8724602460861206."
"ActivityNet Captions","v_ehO8oXanK1Y","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8426719903945923. Maximum achieved text similarity score is 0.863191545009613."
"ActivityNet Captions","v_r8ZIHLqFPfg","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.744168758392334. Maximum achieved text similarity score is 0.7617586851119995."
"ActivityNet Captions","v_UA_RDwuO47s","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8232241868972778. Maximum achieved text similarity score is 0.8798180818557739."
"ActivityNet Captions","v_VRS48f5tj_c","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7773927450180054. Maximum achieved text similarity score is 0.8211618661880493."
