dataset,id_left,id_right
ActivityNet Captions,v_I637SOXSbHY,v_pc_QYeZG9GA
ActivityNet Captions,v_CqAJxW84FkU,v_Q_Rufuciohg
ActivityNet Captions,v_37Q3so6ERxs,v_RJus6sogyiM
ActivityNet Captions,v_VWmSZPIoBlw,v_QOlSCBRmfWY
ActivityNet Captions,v_ogQozSI5V8U,v_eCzDH6PdtlE
ActivityNet Captions,v_UgSLUt8X1Lc,v_lETAKUG4pQw
ActivityNet Captions,v_6uNhwOSZXco,v__LKFGLH8XxI
ActivityNet Captions,v_ogQozSI5V8U,v_apPeChgjzs4
ActivityNet Captions,v_dLLvpM-gB8Q,v_VsFHNZHhNwI
ActivityNet Captions,v_HRjSOacCdWI,v_PG3f3Wkkptk
ActivityNet Captions,v__HQTWGmXXsc,v_zihMznAYlV0
ActivityNet Captions,v_pizl41xmw7k,v_fgoXpih2Kws
ActivityNet Captions,v_GFE2wAi9fjo,v_MleQSQt6Utw
ActivityNet Captions,v_2SnFlGUHKnc,v_X2LI_I_qw-A
ActivityNet Captions,v_xoXTlNWkC7w,v_37pwbUp8t1I
ActivityNet Captions,v_X2LI_I_qw-A,v_fhtNAMK0Vqk
ActivityNet Captions,v_p9iE8iemCMs,v_wyARf3xHOgs
ActivityNet Captions,v_UciHec7xncc,v_dnJJWt0SBTc
ActivityNet Captions,v_VWmSZPIoBlw,v_Tko7eefi1BI
ActivityNet Captions,v_STaS53CNlZI,v_UciHec7xncc
ActivityNet Captions,v_UXX8k68S3_g,v_mcDVNexy6Ps
ActivityNet Captions,v_UgSLUt8X1Lc,v_RgzbNJPchqc
ActivityNet Captions,v_epqnpUCVLK8,v_pc_QYeZG9GA
ActivityNet Captions,v_Bs3OMhhUlY4,v_r9X01daYa5o
ActivityNet Captions,v_LNKdVrX_0Fg,v_SpwOzrXw9JU
ActivityNet Captions,v_8ltNqT5N-xs,v_D18b2IZpxk0
ActivityNet Captions,v_cp52LdlmlUk,v_epqnpUCVLK8
ActivityNet Captions,v_VsFHNZHhNwI,v_fgoXpih2Kws
ActivityNet Captions,v_iYxj8a1TPYk,v_NLTd7qCLT7o
ActivityNet Captions,v_Aj0Pd6snB-k,v_fOuFF7dGPtI
ActivityNet Captions,v_lETAKUG4pQw,v_HppLOtjJY_Q
ActivityNet Captions,v_UciHec7xncc,v_iYxj8a1TPYk
ActivityNet Captions,v_ZKo3_ifK2tQ,v_FsXl6whrCWk
ActivityNet Captions,v_epqnpUCVLK8,v_UBDcmeET6ys
ActivityNet Captions,v___dXUJsj3yo,v_D-y_N4u0uRQ
ActivityNet Captions,v_nsdB1r31-70,v_HRjSOacCdWI
ActivityNet Captions,v_eCzDH6PdtlE,v_pc_QYeZG9GA
ActivityNet Captions,v_PHIZza_xVog,v_37pwbUp8t1I
ActivityNet Captions,v_GTxmHim5JnY,v_Bs3OMhhUlY4
ActivityNet Captions,v_j_YetAlzwbk,v_UXX8k68S3_g
ActivityNet Captions,v_lZKrd84QElk,v_Bs3OMhhUlY4
ActivityNet Captions,v_Lh3dhueuKmQ,v_zihMznAYlV0
ActivityNet Captions,v_8ATFQNEWHL0,v_eCzDH6PdtlE
ActivityNet Captions,v_Tko7eefi1BI,v_dLLvpM-gB8Q
ActivityNet Captions,v_mpC_UTM1tWQ,v_GFE2wAi9fjo
ActivityNet Captions,v_fN2DiOswmOA,v_D-y_N4u0uRQ
ActivityNet Captions,v_7RESODKApso,v_VsFHNZHhNwI
ActivityNet Captions,v_ogQozSI5V8U,v_fhtNAMK0Vqk
ActivityNet Captions,v_D-y_N4u0uRQ,v_UciHec7xncc
ActivityNet Captions,v_dAjhBWalWRM,v_kxwTPAhlhpw
ActivityNet Captions,v_nwznKOuZM7w,v_Ocd1VWIIeVs
ActivityNet Captions,v_iYxj8a1TPYk,v_7RESODKApso
ActivityNet Captions,v_Q_Rufuciohg,v_nHE7u40plD0
ActivityNet Captions,v_Tko7eefi1BI,v_j_YetAlzwbk
ActivityNet Captions,v_FLL06mU-ua8,v_X2LI_I_qw-A
ActivityNet Captions,v_bmoS216hsoc,v_y3r4IrZkgBo
ActivityNet Captions,v_PG3f3Wkkptk,v_SpwOzrXw9JU
ActivityNet Captions,v_soHEsBIljbI,v_Xj--zKhm6k4
ActivityNet Captions,v_8ATFQNEWHL0,v_Hg1tl2hFWGc
ActivityNet Captions,v_Q_Rufuciohg,v_Ocd1VWIIeVs
ActivityNet Captions,v_69IsHpmRyfk,v_p8_hwwgyoZE
ActivityNet Captions,v_CqAJxW84FkU,v_STaS53CNlZI
ActivityNet Captions,v_zW_8T8w7304,v_shGGt9TRlkk
ActivityNet Captions,v_nwznKOuZM7w,v_FsXl6whrCWk
ActivityNet Captions,v_V_Nj_BhesEY,v_pizl41xmw7k
ActivityNet Captions,v_xoXTlNWkC7w,v_YSO5CGeeTmE
ActivityNet Captions,v_8ATFQNEWHL0,v_STaS53CNlZI
ActivityNet Captions,v_LNKdVrX_0Fg,v_RJus6sogyiM
ActivityNet Captions,v_pc_QYeZG9GA,v_mcDVNexy6Ps
ActivityNet Captions,v_69IsHpmRyfk,v_LIaNG_UliKk
ActivityNet Captions,v_soHEsBIljbI,v_CqscMsSNiNY
ActivityNet Captions,v_xKPF_SpZ1gQ,v_fOuFF7dGPtI
ActivityNet Captions,v_VsFHNZHhNwI,v_NLTd7qCLT7o
ActivityNet Captions,v_Hg1tl2hFWGc,v_zihMznAYlV0
ActivityNet Captions,v_lZKrd84QElk,v_V_Nj_BhesEY
ActivityNet Captions,v___dXUJsj3yo,v_UgSLUt8X1Lc
ActivityNet Captions,v_NLTd7qCLT7o,v_QOlSCBRmfWY
ActivityNet Captions,v_pOyP_kDaskY,v_m16Cn9VA3Lk
ActivityNet Captions,v_kxwTPAhlhpw,v_apPeChgjzs4
ActivityNet Captions,v_m22TDwfa8go,v_zihMznAYlV0
ActivityNet Captions,v_2dA1fAU3o6o,v_UciHec7xncc
ActivityNet Captions,v_XD3yFrJHiv8,v_VsFHNZHhNwI
ActivityNet Captions,v_m16Cn9VA3Lk,v_eUCKEnKxG8w
ActivityNet Captions,v_ZKo3_ifK2tQ,v_VdeYnCIbRJ4
ActivityNet Captions,v_mpC_UTM1tWQ,v_LNKdVrX_0Fg
ActivityNet Captions,v_nwznKOuZM7w,v_p0O-EsMFcL4
ActivityNet Captions,v_nwznKOuZM7w,v_HRjSOacCdWI
ActivityNet Captions,v_WnLYDJ8Jwv8,v_QOlSCBRmfWY
ActivityNet Captions,v_D18b2IZpxk0,v_SpwOzrXw9JU
ActivityNet Captions,v_fN2DiOswmOA,v_wrf4MfW4MGg
ActivityNet Captions,v_o-S8I8lhQpo,v__yWADgOFxP0
ActivityNet Captions,v_Xj--zKhm6k4,v_RJus6sogyiM
ActivityNet Captions,v_hhN1647pP88,v_iqe_HmjojQ8
ActivityNet Captions,v_dnJJWt0SBTc,v_soHEsBIljbI
ActivityNet Captions,v_j_YetAlzwbk,v_CbfgZlo0Ut4
ActivityNet Captions,v_WnLYDJ8Jwv8,v_c3vEqTcKPsU
ActivityNet Captions,v_Q9Fw56ZvXq4,v_gXVjjjvjVf4
ActivityNet Captions,v_0zXTrkgUj0U,v_6uNhwOSZXco
ActivityNet Captions,v_dAjhBWalWRM,v_apPeChgjzs4
ActivityNet Captions,v_QOlSCBRmfWY,v_pizl41xmw7k
ActivityNet Captions,v_VdeYnCIbRJ4,v_oP77DgsbhKQ
ActivityNet Captions,v_NnLjEbG31ZE,v_W19-fYOO9sg
ActivityNet Captions,v__HQTWGmXXsc,v_lETAKUG4pQw
ActivityNet Captions,v_mcDVNexy6Ps,v_Aj0Pd6snB-k
ActivityNet Captions,v_Q_Rufuciohg,v_pOyP_kDaskY
ActivityNet Captions,v_W01QffZYsxQ,v_Hg1tl2hFWGc
ActivityNet Captions,v_Bs3OMhhUlY4,v_apPeChgjzs4
ActivityNet Captions,v_UciHec7xncc,v_RJus6sogyiM
ActivityNet Captions,v_epqnpUCVLK8,v_Ocd1VWIIeVs
ActivityNet Captions,v_D5hsFA2ZrIQ,v_---9CpRcKoU
ActivityNet Captions,v__s20ZN8WZbo,v_nsdB1r31-70
ActivityNet Captions,v_cp52LdlmlUk,v_kxwTPAhlhpw
ActivityNet Captions,v_eUCKEnKxG8w,v_W01QffZYsxQ
ActivityNet Captions,v_GTxmHim5JnY,v_HppLOtjJY_Q
ActivityNet Captions,v_IRz9PYgpb8U,v_mcDVNexy6Ps
ActivityNet Captions,v__HQTWGmXXsc,v_YSO5CGeeTmE
ActivityNet Captions,v_ogQozSI5V8U,v_Xj--zKhm6k4
